**  A character list of Wenzhou region pronunciations
**
**  The following symbols are used
**
**  1 (Following a character) most common pronunciation
**  2 (Following a character) second most common pronunciation
**  3 (Following a character) third most common pronunciation
**  4 (Following a character) fourth most common pronunciation
**  - (Following a character) Wendu (文读) pronunciation
**  = (Following a character) Baidu (白读) pronunciation
**  {}   Brackets comments
**  **   Starts a commented line
**  []   Indicates a unicode ideographic description sequence.
**  #    Stands in place of a character which has no unicode representation
**
**
**
gang33	昆1跟1=根2-
gang35	滚亘绲管2-䐊[⿰章寫]#
gang42	棍謴#
ggang31	浛1
ggang22	浛2
ggang35	𩑡
hang33	夯
hang35	很狠
hhang22	恨
hhang31	恒痕1含2
iang33	因音阴英应1蝇鹰姻殷莺婴愔鹦1=樱1=
iang35	饮影映隐瘾
iang42	印应2蠮
jang33	斤巾今经金京惊筋茎泾荆襟
jang35	锦颈紧谨1
jang42	竟境敬径劲禁滰镜警迳靳胫净2-
jjang22	竞仅谨2瑾儆噤踁觐痉
jjang31	琴勤禽岑芹擎鲸
jjang35	近妗
kang33	啃坤髋
kang35	肯垦恳捆
kang42	困
** page 401 **
lang31	仑轮1=沦伦抡囵楞棱2薐
lang33	卵2=
lang35	卵1=
mang22	闷焖问2-
mang31	门们扪忘2-明2蚊2-
nang213	能2恁
nang31	人2-能1
nang35	暖2
nyang22	认泞宁2
nyang31	银迎吟宁1任2人3壬鄞
nyang35	忍涊
pang33	喷1
pang42	喷2
qang33	轻钦氢卿衾
qang42	庆揿
sang33	心身深新1=申1=伸僧参2森辛锌莘芯薪琛2
sang35	审迅沈婶
sang42	信讯
ssang22	赠慎刃任1纴妊纫揕
ssang31	寻仁晨层辰神人1=秦宸曾1
ssang35	尽甚肾
tang33	吞2-腾2-褪2-㖔
tang35	畽
tang42	氽腾3-𤳘瞪2
uang33	温2-
uang35	揾
wang22	份混浑分2问1紊
wang31	文闻纹坟蚊1=雯馄丸2-焚
** page 402 **
wang35	愤吻刎氛忿
xang33	兴1欣掀昕馨鑫凶2-
xang35	兴3行4
xang42	兴2衅𩔝
yang31	形刑型邢寅孕盈萤2莹2淫楹赢悻
yang35	引蚓颖
zang33	针真珍增津砧斟榛臻憎1=曾3箴疹櫼
zang35	枕疹稹䪴
zang42	进震浸晋振赈圳
zzang22	阵
zzang31	臣沉陈尘曾2
zzang35	朕
au33	欧瓯鸥讴沤1𩔸
au35	呕殴
au42	噢怄沤2
cau35	掫
cau42	凑湊
dau33	兜#
dau35	斗1抖陡
dau42	斗2
ddau22	逗腹毒2
ddau31	投
gau213	彀
gau33	勾沟钩篝膏2
gau35	狗苟垢
gau42	够构购
** page 403 **
ggau22	抠1
ggau31	跔抠2
ggau35	厚2-
hau33	佝
hau35	犰
hau42	鲎
hhau22	候
hhau31	喉猴侯
hhau35	后厚1=
iau33	忧优攸悠幽幼呦
iau35	#
jau33	纠勼鸠阄
jau35	九久玖韭
jau42	救究灸疚
jjau22	旧
jjau31	求球虬逑趜㽲
jjau35	舅臼
kau33	抠{should this be numbered 3?}
kau35	口
kau42	扣叩寇
lau22	漏陋露2-
lau31	娄楼镂髅偻
lau33	𫦉
lau35	篓缕
nau35	冇
nyau213	狃
ngau31	牛
ngau35	偶藕
** page 404 **
nyau31	扭2
nyau33	妞扭3
nyau35	纽扭1㶭
qau33	丘邱𥫷
qau35	搝
sau33	搜艘飕
sau35	叟
sau42	嗽漱
ssau31	愁
tau33	偷
tau35	敨
tau42	透
xau33	休
xau35	朽
xau42	臭1嗅
yau22	又右佑诱髹蜏油2
yau31	由油1邮游犹蚰酋蝤冘鱿
yau35	友有酉{髹}{this character is repeated - likely a mistake}
zau33	邹僽齱#
zau35	走
zau42	奏皱绉
zzau22	骤籀
bbe22	暴爆
bbe31	袍
bbe35	抱
be33	褒
** page 405 **
be35	保宝堡葆鸨
be42	报
ce33	草2
ce35	草1
ce42	操糙
dde22	导悼盗掏纛翿蹈1=
dde31	逃桃陶匈萄淘啕涛
dde35	道稻
de33	刀叨雕2
de35	岛捣倒1祷
de42	到倒2
e33	鏖爊
e35	袄
e42	岙奥懊澳
fe213	孬
fe35	否
ge33	糕高羔膏1篙皋
ge35	稿搞杲
ge42	告诰
gge22	戤
he33	蒿2
he35	好1
he42	耗好2
hhe22	号1
hhe31	豪毫壕嚎濠号2
hhe35	浩昊灏
ke33	烤
ke35	考拷洘
** page 406 **
ke42	靠犒
le22	𤶁
le31	牢劳痨唠捞涝
le35	老佬
me22	帽冒茂贸毛2
me31	毛1谋髦眸蛑1[⿰无子]1娼
me35	亩牡[⿰无子]2
ne22	耨
ne35	脑恼瑙
nge22	傲
nge31	熬遨鳌敖翱
pe33	𬱭#
pe35	剖
se33	骚臊搔
se35	嫂
se42	扫燥#
sse22	嘈
sse31	曹槽㷮𤵥
sse35	皂造
te33	滔韬弢绦
te35	讨
te42	套
we22	復
we31	浮1=
we35	阜缶
ze33	糟遭
ze35	早枣蚤澡藻
ze42	灶躁噪
** page 407 **
cee213	侧1=厕测1
cee33	猜
cee35	厂1=采彩採
cee42	菜
ddee213	特
ddee22	代袋岱逮2埭绐
ddee31	抬台1苔1颱
ddee35	待殆怠
dee213	得德
dee42	戴1=
ee33	哀
ee35	霭蔼
ee42	爱
gee213	个3
gee33	该1
gee35	改
gee42	盖1溉概
ggee22	隑亍
ggee35	徛
hee213	黑
hee33	诃
hee35	海许2-
hee42	囟吓4-
hhee22	害
hhee35	孩亥氦
kee213	克刻
** page 408 **
kee33	开
kee35	凯恺
kee42	去2-慨
lee213	劣勒肋
lee31	来徕莱
nee213	日2-
nee22	耐
nee31	挼1=
ngee22	艾碍
ngee31	呆1
see213	色塞
see42	赛
ssee213	贼
ssee22	傤
ssee31	财材裁才1
ssee35	在1罪2-
tee33	胎台2
tee42	态贷黛达2-苔2e
zee213	则仄侧2-测2
zee33	灾栽哉
zee35	宰
zee42	再最2载
zzee31	才2
bbei213	鼻2
bbei22	备币避篦鐾
bbei31	皮疲陂枇啤坒肥2-
** page 409 **
bbei35	被陛婢
bei33	屄毴
bei35	比彼
bei42	闭痺鄙蔽
cei213	尺戚赤1=饬砌刺3-
cei33	妻凄栖笡蛆车2
cei35	鼠且扯杵
cei42	刺2-蛓
ddei213	的
ddei22	地大3-第递睇
ddei31	提堤题蹄啼焍锑
ddei35	弟娣悌逮1
dei213	滴嫡
dei33	低爹
dei35	底抵柢
dei42	帝渧蒂
fei35	飞妃非菲啡绯扉蜚翡
fei35	匪斐
fei42	肺废费沸3
kei42	去3
lei213	力历沥雳砾
lei22	丽厉利吏荔励蛎隶痢俐劙1
lei31	离黎厘狸梨犁篱璃罹黧
lei33	劙2里2
lei35	礼李里1鲤理俚涅娌蠡1履2
mei22	未2-味1=魅#
mei31	迷眉弥谜1=醚靡楣媚鹛糜縻脗2
mei33	眯咪渳脗1
** page 410 **
mei35	米美镁尾2娓
pei33	批砒丕呸披𠜱
pei42	屁
sei213	息式识析摄昔惜设悉熄适饰释锡薛亵
sei33	西些奢赊犀茜簛
sei35	写洗舍1捨髓祟
sei42	世势细1=婿啻皙泻赦舍2施2-
ssei213	食席石蚀夕汐寂趞
ssei22	谢射誓逝剂2
ssei31	齐荠脐蛇徐匙邪斜1鲚薯随2-
ssei35	社屿藉籍
tei213	踢惕剔
tei33	梯
tei35	体舔2
tei42	替涕剃嚏屉
wei22	未1=味2
wei31	肥1=薇微
wei35	尾1=
zei213	职积浙脊迹鲫绩摭支2
zei33	支1枝肢猪遮
zei35	纸姐煮
zei42	借际济挤剂1蔗祭漈制#
zzei213	直值殖湜掷2
zzei22	箸
zzei31	池
zzei35	舐苎滞
** page 411 **
bbeng22	病
bbeng31	平瓶贫凭评苹坪频蘋屏2
bbeng35	並
beng33	冰兵宾滨彬斌濒
beng35	丙炳饼1秉鈉
beng42	柄并併迸1=屏1摒殡鬓
ceng33	青清称1蜻蛏
ceng35	请骋逞
ceng42	秤称2
ddeng22	定啶
ddeng31	廷停亭庭霆
ddeng35	渟锭
deng33	丁钉1盯叮疔
deng35	顶鼎
deng42	订钉2糽{this last character has no mandarin representation}
leng22	令另吝蔺躏鳞
leng31	林灵邻临零凌陵棱1=菱淋霖麟磷玲铃聆龄轮2-
leng33	扔拎
leng35	领岭凛
meng22	命
meng31	名铭茗鸣明1盟螟冥旻
meng35	皿闽悯抿
peng33	乒姘娉
peng35	品
peng42	拼聘
** page 412 **
seng33	升声星腥猩惺新2申2-
seng35	醒省2
seng42	圣胜姓性
sseng22	盛净1=嵊
sseng31	成诚城仍情晴承乘绳饧
sseng35	静靖婧
teng33	听1厅汀
teng35	挺艇
teng42	听2
zeng33	晶精睛腈菁贞侦旌徵憎2蒸1正1
zeng35	井整拯蒸2
zeng42	证政症正2甑
zzeng22	郑剩#
zzeng31	呈程埕锃惩澄橙
ceu213	促蹙簇
ceu33	初刍差3搓1{numeral 1 on last character inserted by me}
ceu35	楚础
ceu42	锉错2
ddeu213	独读渎毒1媠
ddeu22	豆痘大2-驮
ddeu31	头陀佗驼徒1=骰
ddeu35	堕惰舵䅜
deu213	督笃
deu33	多丢
deu35	躲
deu42	剁
** page 413 **
ieu213	育毓昱煜囿郁2鬻1
jeu213	竹祝菊筑鞠啄粥竺
jeu33	周舟州洲揪
jeu35	酒帚肘1
jeu42	昼咒
jjeu213	逐轴妯柚
jjeu22	宙胄售1=
jjeu31	酬仇囚稠俦踌畴帱
jjeu35	纣
leu213	六陆鹿漉麓
leu22	溜1遛霤摞
leu31	留流硫罗萝2箩锣逻螺刘浏榴馏啰
leu33	溜2啰
leu35	柳鲁虏掳橹裸1=绺㧕
neu22	怒
neu31	呶奴1=孥
neu35	努
nyeu213	肉1
nyeu33	肉2
qeu213	曲2畜2
qeu33	秋抽鳅鞦
qeu35	丑
qeu42	臭2
seu213	速
seu33	梳1疏蔬嗉搓2
seu42	数1=素1=愫
sseu22	助
sseu3	锄1=雏#
** page 414 **
teu213	秃忒
teu33	拖1=
teu35	妥
xeu213	叔旭肃畜1蓄
xeu33	收修羞馐
xeu35	手守首
xeu42	兽秀锈绣狩宿2
yeu213	熟族淑辱褥孰塾就2
yeu22	寿授袖就1售2=
yeu31	柔揉泅
yeu35	受绶
zeu35	左组阻
zeu42	做佐诅
zzeu22	𢭟
bbi213	别1鼻1蹩卞弼𧼱
bbi22	便1弁
bbi31	便2
bbi35	辫辩辨
bi213	必毕笔滗壁臂碧逼彆憋别2
bi33	边1=编鞭
bi35	扁1贬匾瘪饼2
bi42	变遍
ddi22	电甸钿奠殿垫
ddi213	敌笛迪叠蝶谍碟迭狄翟棣涤
ddi31	田甜恬填钱2-
ddi35	簟
** page 415 **
di213	跌
di33	癫掂颠滇
di35	典点1碘㓠踮
di42	店点2惦
ggi31	渠2-
gi213	该2
gi35	几2
i213	一1=页咽噎
i33	衣央医伊烟秧殃鸯依铱裔阉嫣蔫胭腌黟
i35	养1=野1=燕椅倚掩
i42	意忆亿宴厌靥餍𪠏魇堰䞁要3
ji213	接节结洁诘折1=劫即唧疖婕1蜇摺#
ji33	尖张肩坚姜章樟障1煎歼詹沾兼笺将1僵饘鸟3-雀2-
ji35	剪展检捡长2涨1掌桨毽趼
ji42	见建剑箭帐胀账1涨2将2障2浆酱幛牮溅
jji213	杰彻掷1撤辙竭搩
jji22	健键糨缠1=
jji31	场长1强1肠钳拑虔账2钱1=常2-黔钤
jji35	件丈杖仗1=犟强2俭像2
li213	立列例烈咧律率1笠栗捩疬㪝
li22	亮练谅恋链殓量2
li31	良量1联粮连莲涟梁粱凉廉镰帘怜晾1
li35	脸辆两2
mi213	灭秘密蜜蔑篾搣觅幂
mi22	面1=
mi31	眠棉绵寐1
mi33	寐2
** page 416 **
mi35	免缅勉娩冕丏
nyi213	业热日4聂镊1孽蘖昵
nyi22	义念让艺廿酿1诣毅谚彦唁腻
nyi31	娘年言严疑1=宜1尼泥乜倪霓妍酿2妮
nyi33	粘姨1
nyi35	你仰仪议谊拟染蚁1
pi213	匹匕疋辟霹躄癖劈撇
pi33	偏篇翩1扁2
pi42	片骗
qi213	切沏挈契1=锲
qi33	千昌枪菖腔签牵迁羌
qi35	抢浅敞歉遣谴昶厂2-
qi42	欠唱倡畅繟倩怅堑
ti213	铁帖贴
ti33	天添
ti35	舔1
ti42	掭
xi213	歇胁携
xi33	先伤乡香商厢仙籼箱轩沿2-鲜相1湘襄镶
xi35	显想响享陕险鲞闪筅癣赏饷
xi42	向宪线系1献腺相2扇煽苋
yi213	舌叶协侠捷睫亦2婕2折2烨
yi22	夜样现易1匠上1尚贱践异烊肄艳焰羡擅禅仗2-养2-壤嚷{the pinyin on this line is repeated, may be a mistake}
yi22	恙缮漾掖单2{the pinyin on this line is repeated, may be a mistake}
yi31	前贤然燃婵蝉蟾尝偿常1=嫦潒降2墙蔷裳兮奚涎舷炎阳{the pinyin on this line is repeated, may be a mistake}
yi31	羊洋详祥垟蛘翔焉延沿1=盐阎筵蜒檐扬旸杨炀爷耶怡贻{the pinyin on this line is repeated, may be a mistake}
** page 417 ** previous line overflows page break **
yi31	椰夷胰移颐彝懿姨1宜2-摇2-{the pinyin on this line is repeated, may be a mistake}
yi35	以象像1橡渐演痒冶矣善膳蟮上2衍单3
bbie22	掽
bbie31	彭膨蟛嫖踫薸瓢棚2
bbie35	蚌甏𦗭
bie33	标彪滮臕绷1飙
bie35	表裱婊
bie42	绷2
cie33	撑1
cie42	撑2
ddie22	掉1调2
ddie31	条迢
ddie35	调1掉2𢖈
die33	刁貂凋雕1碉1{numeral 1 on fourth character inserted by me}
die35	打鸟2
die42	吊钓
ggie3	渠3-
gie33	更1羹尴庚耕赓
gie35	耿哽梗埂
gie42	更2
ie33	腰妖邀曰幺
ie35	也1=夭舀杳窈
ie42	要1
jie33	焦招昭骄娇浇蕉钊噍朝2
jie35	沼激矫铰1=饺幠{baiwen indication and number 1 on fourth character inserted by me}
** page 418 **
jie42	叫照诏醮
jjie22	召轿
jjie31	潮桥朝1侨㱦乔荞
jjie35	撬赵兆肇
kie33	坑摼铿
lie213	略掠猎擽䛚
lie22	料廖嘹
lie31	辽聊寮僚撩蟟燎缭寥摽龙2-隆2-
lie35	冷了两1蓼垅2
mie22	妙庙
mie31	盲苗描瞄萌缪摱
mie33	咩
mie35	秒孟猛锰渺淼蜢藐
ngie22	硬
nie22	玍人4-
nie31	#
nyie35	绕1嬲
pie33	烹飘漂1翩2
pie35	漂2
pie42	票
qie33	超跷锹橇缲
qie35	悄
qie42	窍翘俏诮瘸1
sie33	生牲甥鉎
sie35	省1
tie33	挑1
tie35	挑2
tie42	跳眺粜籴
** page 419 **
uie33	謍
uie35	奣
wie31	横
wie35	撔
xie33	烧销消硝宵霄逍魈肖1捎2嚣箫萧潇枭
xie35	小少筱
xie42	笑肖2鞘
yie22	绍邵耀曜鹞
yie31	姚韶谣摇1=瑶遥饶窑
yie35	扰绕2
